symbol,date,open,high,low,close,volume
BPCL,2020-01-05,1852.72,1878.4,1852.66,1855.31,1999
BPCL,2020-01-06,1793.9,1803.77,1774.76,1797.27,1790
BPCL,2020-01-07,1782.15,1795.41,1780.93,1789.96,2219
BPCL,2020-01-08,1749.93,1751.99,1736.14,1741.31,3623
BPCL,2020-01-09,1732.83,1766.98,1722.29,1740.41,1405
BPCL,2020-01-12,1763.54,1786.89,1741.06,1774.53,3169
BPCL,2020-01-13,1829.67,1855.54,1797.78,1831.47,633
BPCL,2020-01-14,1774.02,1788.39,1720.19,1772.58,2189
BPCL,2020-01-15,1777.7,1806.19,1766.39,1776.35,1924
BPCL,2020-01-16,1813.02,1841.41,1811.65,1815.03,3359
BPCL,2020-01-19,1798.24,1809.01,1774.82,1803.05,3198
BPCL,2020-01-20,1802.51,1808.41,1785.22,1794.42,2588
BPCL,2020-01-21,1779.19,1803.1,1747.23,1788.73,1843
BPCL,2020-01-22,1778.37,1794.43,1757.08,1770.24,2541
BPCL,2020-01-23,1769.98,1794.83,1760.58,1770.38,1726
BPCL,2020-01-26,1757.94,1777.32,1749.34,1755.88,1544
BPCL,2020-01-27,1802.34,1834.79,1792.84,1801.49,1769
BPCL,2020-01-28,1805.05,1818.77,1804.2,1811.76,1656
BPCL,2020-01-29,1800.56,1813.82,1788.44,1791.16,1939
BPCL,2020-01-30,1822.15,1833.65,1791.87,1816.89,1710
BPCL,2020-02-02,1801.53,1803.65,1768.25,1800.4,438
BPCL,2020-02-03,1810.15,1829.73,1791.65,1813.04,1588
BPCL,2020-02-04,1800.2,1805.03,1754.82,1804.66,1844
BPCL,2020-02-05,1819.32,1851.31,1782.03,1827.85,2784
BPCL,2020-02-06,1800.05,1880.66,1732.93,1797.82,2381
BPCL,2020-02-09,1828.47,1847.41,1815.34,1834.36,2153
BPCL,2020-02-10,1837.15,1849.64,1824.62,1831.91,940
BPCL,2020-02-11,1856.06,1873.96,1852.68,1854.39,516
BPCL,2020-02-12,1813.19,1819.83,1791.03,1809.22,2865
BPCL,2020-02-13,1773.25,1799.53,1749.55,1783.47,2117
BPCL,2020-02-16,1735.23,1753.47,1712.96,1729.96,1710
BPCL,2020-02-17,1752.7,1760.44,1717.02,1755.04,1746
BPCL,2020-02-18,1772.7,1795.91,1771.28,1774.3,1844
BPCL,2020-02-19,1792.57,1800.06,1763.7,1793.75,2018
BPCL,2020-02-20,1812.3,1819.65,1798.73,1816.34,2778
BPCL,2020-02-23,1826.31,1837.17,1803.62,1820.05,2227
BPCL,2020-02-24,1805.9,1845.22,1759.76,1816.25,3030
BPCL,2020-02-25,1796.66,1803.57,1791.82,1797.56,2350
BPCL,2020-02-26,1805.32,1822.9,1762.66,1800.05,1984
BPCL,2020-02-27,1811.31,1834.56,1758.62,1820.95,2050
BPCL,2020-03-01,1806.26,1806.49,1780.06,1804.59,2399
BPCL,2020-03-02,1778.58,1796.01,1700.63,1781.61,2722
BPCL,2020-03-03,1752.07,1779.16,1750.07,1763.3,2608
BPCL,2020-03-04,1753.92,1788.69,1738.53,1761.0,1975
BPCL,2020-03-05,1797.03,1842.62,1796.84,1802.17,3343
BPCL,2020-03-08,1774.67,1794.0,1735.51,1783.17,1881
BPCL,2020-03-09,1788.88,1803.48,1754.74,1781.44,3077
BPCL,2020-03-10,1787.26,1819.25,1659.93,1791.9,1511
BPCL,2020-03-11,1769.48,1807.11,1719.85,1767.86,2476
BPCL,2020-03-12,1770.78,1775.91,1761.13,1766.67,2185
BPCL,2020-03-15,1738.29,1756.45,1697.37,1745.35,1920
BPCL,2020-03-16,1734.22,1761.78,1699.14,1741.61,1528
BPCL,2020-03-17,1759.39,1847.43,1689.19,1755.33,1837
BPCL,2020-03-18,1683.04,1685.98,1602.95,1683.46,2059
BPCL,2020-03-19,1673.94,1688.07,1657.61,1677.9,1611
BPCL,2020-03-22,1682.02,1692.53,1681.29,1685.33,2418
BPCL,2020-03-23,1657.66,1672.14,1608.17,1668.75,1986
BPCL,2020-03-24,1633.43,1643.87,1615.65,1633.51,1960
BPCL,2020-03-25,1620.31,1626.57,1616.17,1624.93,2322
BPCL,2020-03-26,1617.4,1629.48,1573.91,1621.71,2778
BPCL,2020-03-29,1625.7,1627.49,1599.82,1623.32,854
BPCL,2020-03-30,1643.05,1660.84,1619.22,1636.48,1664
BPCL,2020-03-31,1672.8,1681.76,1649.73,1666.24,1894
BPCL,2020-04-01,1694.68,1743.5,1680.45,1692.2,892
BPCL,2020-04-02,1697.93,1722.25,1697.75,1701.69,1454
BPCL,2020-04-05,1690.09,1700.03,1681.5,1690.64,1355
BPCL,2020-04-06,1710.28,1725.45,1680.58,1708.49,3745
BPCL,2020-04-07,1687.44,1703.99,1643.45,1683.47,10
BPCL,2020-04-08,1660.83,1670.11,1631.67,1665.77,1487
BPCL,2020-04-09,1685.14,1694.77,1685.02,1686.71,1723
BPCL,2020-04-12,1641.47,1649.09,1615.77,1646.12,2076
BPCL,2020-04-13,1636.45,1647.02,1589.96,1639.5,2656
BPCL,2020-04-14,1668.97,1707.06,1641.82,1674.89,1815
BPCL,2020-04-15,1702.48,1707.84,1696.85,1705.39,2123
BPCL,2020-04-16,1690.89,1742.7,1660.74,1687.02,2910
BPCL,2020-04-19,1768.96,1784.59,1760.26,1771.25,1518
BPCL,2020-04-20,1886.1,1909.26,1868.44,1876.51,2035
BPCL,2020-04-21,1921.89,1943.46,1911.46,1920.41,2155
BPCL,2020-04-22,1909.9,1914.54,1855.8,1907.1,2188
BPCL,2020-04-23,1886.48,1901.29,1856.02,1892.43,2753
BPCL,2020-04-26,1886.7,1894.05,1873.07,1886.38,1313
BPCL,2020-04-27,1874.82,1910.54,1863.91,1872.53,1308
BPCL,2020-04-28,1878.44,1895.12,1834.52,1878.13,2757
BPCL,2020-04-29,1856.39,1862.44,1853.5,1859.29,2918
BPCL,2020-04-30,1888.57,1889.63,1821.5,1876.94,2266
BPCL,2020-05-03,1863.15,1877.46,1805.22,1857.99,3259
BPCL,2020-05-04,1856.11,1875.97,1838.83,1851.49,2880
BPCL,2020-05-05,1836.29,1845.42,1819.87,1839.06,1247
BPCL,2020-05-06,1800.28,1864.25,1785.66,1804.61,1212
BPCL,2020-05-07,1796.49,1829.45,1737.42,1804.71,1443
BPCL,2020-05-10,1767.84,1796.23,1718.98,1757.11,1644
BPCL,2020-05-11,1728.06,1763.98,1723.64,1724.13,1234
BPCL,2020-05-12,1685.27,1726.07,1616.5,1681.03,1490
BPCL,2020-05-13,1637.1,1664.45,1602.51,1650.27,2220
